Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000885138044595191,0.0915699924718767,-0.0157912683455384,0,0,0,5.32485366509133,0.0219378727233068,-4.01751561825444E-06,-1.47975198130989E-06,0.0232029020939229,-8.06521337684411E-06,0.0149048926646327,0,0,0,0,0,0,package://wheelball/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://wheelball/meshes/base_link.STL,,Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RFS,0.0724473276378503,-0.00242306558271334,-0.0667549990091164,0,0,0,0.26437001106024,3.20746276473134E-05,1.44118283521328E-07,6.30853084344763E-08,6.22704126338856E-05,-2.01894652764198E-07,6.28519936954001E-05,0,0,0,0,0,0,package://wheelball/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://wheelball/meshes/RFS.STL,,Suspensionsystem2-1,Origin_RFS,Axis_RFS,RFS,fixed,-0.21292,-0.11437,-0.037202,2.834,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
RFW,0.014171,0,-1.3878E-17,0,0,0,0.23877,0.00029907,-3.9717E-37,7.3408E-37,0.00016737,-8.4703E-22,0.00016737,0,0,0,0,0,0,package://wheelball/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://wheelball/meshes/RFW.STL,,wheel-1,Origin_RFW,Axis_RFW,RFW,continuous,0,0.00097405,-0.03369,-1.3077,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LFS,0.0666875210853817,0.00364278355332748,-0.0648369138582874,0,0,0,0.26437001106024,3.20746276473134E-05,-1.4411828352132E-07,-6.30853084344762E-08,6.22704126338856E-05,-2.01894652764187E-07,6.28519936954001E-05,0,0,0,0,0,0,package://wheelball/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://wheelball/meshes/LFS.STL,,Suspensionsystem-1,Origin_LFS,Axis_LFS,LFS,fixed,0.20716,-0.075688,-0.037202,2.834,0,3.1416,base_link,0,0,0,0,0,0,0,,,,,,,,
LFW,-0.00841099113507679,-1.38777878078145E-17,0,0,0,0,0.238771211024828,0.000299070391410013,3.54440352668465E-22,-1.84333746845529E-21,0.000167368400731884,6.7762635780344E-21,0.000167368400731884,0,0,0,0,0,0,package://wheelball/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://wheelball/meshes/LFW.STL,,wheel-2,Origin_LFW,Axis_LFW,LFW,continuous,0,-0.018219,-0.039786,-0.026787,0,3.1416,LFS,1,0,0,3.1,7,,,,,,,,,,
RBS,-0.00678676998851023,0.0106702734987945,0.0591953733266077,0,0,0,0.11410709738518,7.89414159986181E-05,5.55241337234204E-22,1.14721099197346E-06,5.15117788979022E-05,5.87979936265405E-21,7.8389894275756E-05,0,0,0,0,0,0,package://wheelball/meshes/RBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://wheelball/meshes/RBS.STL,,back_ball-1,Origin_RBS,Axis_RBS,RBS,fixed,-0.23339,0.12116,0,-1.5708,0,-2.2503,base_link,0,0,0,0,0,0,0,,,,,,,,
LBS,-0.00678676998851024,0.0106702734987945,0.0591953733266076,0,0,0,0.11410709738518,7.89414159986181E-05,1.76562008053687E-21,1.14721099197345E-06,5.15117788979022E-05,3.49030907985095E-21,7.8389894275756E-05,0,0,0,0,0,0,package://wheelball/meshes/LBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://wheelball/meshes/LBS.STL,,back_ball-2,Origin_LBS,Axis_LBS,LBS,fixed,0.23339,0.055845,0,-1.5708,0,0.89134,base_link,0,0,0,0,0,0,0,,,,,,,,
cam1,0.0498359970623519,0.0617836354899649,0.0687226594771384,0,0,0,0.0436119949785285,4.2947907827665E-06,-8.85484503942536E-10,-1.01834758012153E-09,2.21058144654638E-05,2.17579332532723E-08,2.35707056099602E-05,0,0,0,0,0,0,package://wheelball/meshes/cam1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheelball/meshes/cam1.STL,,Webcam_C920-1,Origin_cam1,,cam1,fixed,-0.049835,-0.022219,0.13322,2.3562,0,0,base_link,0,0,0,,,,,,,,,,,,
cam2,0.049835996894939,0.0617836354959193,0.068722659224057,0,0,0,0.0436119950287128,4.29479133591154E-06,-8.85791114080511E-10,-1.01813691697105E-09,2.21058141232448E-05,2.17579681215265E-08,2.357070580464E-05,0,0,0,0,0,0,package://wheelball/meshes/cam2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheelball/meshes/cam2.STL,,Webcam_C920-2,Origin_cam2,,cam2,fixed,-0.049839,-0.046422,0.10251,1.5708,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
lidar,-0.0784930224983973,-0.744427433893901,-0.133449662311106,0,0,0,0.0730845709360323,1.9580875692911E-05,4.28391199656797E-07,-1.03933596052725E-07,4.14184516232486E-05,-9.42707888853209E-09,2.41250079747142E-05,0,0,0,0,0,0,package://wheelball/meshes/lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheelball/meshes/lidar.STL,,RPLidar-1,Origin_lidar,,lidar,fixed,0.13292,-0.027939,-0.53869,-1.5708,0,-1.5708,base_link,0,0,0,0,0,0,0,,,,,,,,
